library, mrtp
totalNumber, 1000
totalReceive, 1000
packetLength, 80
totalRtt, 3764
averageRtt, 3.764
maxRtt, 6
needSendData, 80000
totalSendData, 89108
totalReceiveData, 89089
totalSendUdpPacket, 1007
totalReceiveUdpPacket, 1005
upstreamLoss, 5
upstreamLatency, 10
upstreamDeviation, 8
downstreamLoss, 5
downstreamLatency, 10
downstreamDeviation, 8
timeStamp, 288898582
packetStyle, unsequenced
1, 4
2, 4
3, 4
4, 5
5, 4
6, 4
7, 4
8, 4
9, 3
10, 3
11, 4
12, 4
13, 4
14, 3
15, 3
16, 4
17, 4
18, 4
19, 4
20, 4
21, 5
22, 4
23, 4
24, 3
25, 3
26, 3
27, 4
28, 3
29, 3
30, 3
31, 4
32, 4
33, 3
34, 2
35, 4
36, 4
37, 3
38, 3
39, 3
40, 4
41, 4
42, 3
43, 5
44, 3
45, 5
46, 3
47, 3
48, 5
49, 4
50, 3
51, 3
52, 4
53, 4
54, 3
55, 2
56, 3
57, 3
58, 3
59, 5
60, 4
61, 4
62, 3
63, 3
64, 3
65, 5
66, 3
67, 4
68, 4
69, 4
70, 5
71, 3
72, 4
73, 5
74, 4
75, 4
76, 3
77, 5
78, 3
79, 5
80, 4
81, 3
82, 3
83, 4
84, 5
85, 5
86, 4
87, 3
88, 5
89, 4
90, 4
91, 3
92, 5
93, 3
94, 3
95, 4
96, 3
97, 4
98, 3
99, 3
100, 4
101, 4
102, 3
103, 3
104, 4
105, 3
106, 5
107, 5
108, 3
109, 3
110, 3
111, 3
112, 3
113, 3
114, 2
115, 3
116, 3
117, 3
118, 5
119, 3
120, 3
121, 4
122, 3
123, 4
124, 4
125, 5
126, 5
127, 3
128, 4
129, 3
130, 4
131, 3
132, 4
133, 3
134, 4
135, 4
136, 4
137, 4
138, 2
139, 4
140, 3
141, 3
142, 4
143, 3
144, 3
145, 4
146, 4
147, 3
148, 3
149, 4
150, 4
151, 4
152, 4
153, 3
154, 3
155, 3
156, 3
157, 4
158, 4
159, 5
160, 3
161, 5
162, 3
163, 3
164, 3
165, 4
166, 3
167, 3
168, 3
169, 4
170, 4
171, 4
172, 4
173, 4
174, 6
175, 3
176, 3
177, 3
178, 3
179, 3
180, 5
181, 4
182, 3
183, 4
184, 5
185, 3
186, 5
187, 4
188, 5
189, 4
190, 3
191, 3
192, 4
193, 4
194, 5
195, 3
196, 5
197, 4
198, 4
199, 4
200, 3
201, 4
202, 3
203, 3
204, 5
205, 3
206, 3
207, 3
208, 3
209, 3
210, 4
211, 4
212, 4
213, 3
214, 4
215, 4
216, 4
217, 5
218, 4
219, 5
220, 3
221, 3
222, 3
223, 3
224, 3
225, 4
226, 5
227, 5
228, 3
229, 3
230, 4
231, 4
232, 5
233, 4
234, 5
235, 3
236, 4
237, 4
238, 3
239, 3
240, 3
241, 3
242, 4
243, 4
244, 5
245, 4
246, 4
247, 4
248, 3
249, 5
250, 3
251, 5
252, 4
253, 4
254, 5
255, 5
256, 3
257, 3
258, 3
259, 4
260, 3
261, 5
262, 5
263, 5
264, 3
265, 3
266, 5
267, 5
268, 5
269, 5
270, 5
271, 3
272, 3
273, 3
274, 3
275, 3
276, 3
277, 3
278, 5
279, 5
280, 5
281, 3
282, 4
283, 4
284, 5
285, 5
286, 5
287, 4
288, 5
289, 3
290, 3
291, 3
292, 3
293, 4
294, 4
295, 4
296, 3
297, 4
298, 3
299, 3
300, 3
301, 5
302, 4
303, 4
304, 3
305, 3
306, 5
307, 5
308, 3
309, 3
310, 3
311, 3
312, 5
313, 4
314, 4
315, 4
316, 4
317, 5
318, 4
319, 4
320, 4
321, 5
322, 3
323, 5
324, 5
325, 3
326, 4
327, 3
328, 4
329, 4
330, 5
331, 4
332, 4
333, 4
334, 4
335, 3
336, 4
337, 4
338, 3
339, 3
340, 4
341, 3
342, 3
343, 4
344, 4
345, 4
346, 3
347, 3
348, 5
349, 5
350, 4
351, 4
352, 4
353, 5
354, 5
355, 5
356, 5
357, 5
358, 5
359, 4
360, 3
361, 3
362, 4
363, 4
364, 4
365, 5
366, 4
367, 4
368, 4
369, 4
370, 5
371, 4
372, 4
373, 4
374, 5
375, 5
376, 5
377, 2
378, 3
379, 5
380, 3
381, 4
382, 5
383, 5
384, 5
385, 4
386, 3
387, 5
388, 3
389, 3
390, 3
391, 3
392, 3
393, 3
394, 3
395, 3
396, 5
397, 5
398, 3
399, 4
400, 3
401, 3
402, 3
403, 3
404, 3
405, 4
406, 4
407, 4
408, 4
409, 3
410, 5
411, 5
412, 3
413, 3
414, 4
415, 3
416, 3
417, 5
418, 3
419, 5
420, 4
421, 5
422, 3
423, 4
424, 3
425, 3
426, 3
427, 3
428, 3
429, 3
430, 5
431, 4
432, 4
433, 4
434, 3
